message_id,text,has_savings,has_action,has_deadline,has_social_norm,message_length,send_hour,useful
81,"Most neighbors are participating in today's energy event.",0,0,0,1,55,13,0
82,"Save money today. Please delay dishwasher use until after 8 p.m. Act before 5 p.m.",1,1,1,0,81,14,1
83,"Please delay laundry until after 8 p.m.",0,1,0,0,39,15,0
84,"Save about $4. Please reduce AC use from 5-8 p.m. Most neighbors are participating.",1,1,0,1,86,16,1
85,"Act before 5 p.m. to support the grid.",0,0,1,0,41,17,0
86,"Save money today. Please raise your thermostat two degrees from 5-8 p.m.",1,1,0,0,73,18,1
87,"Energy notice for this evening. Most neighbors are reducing use.",0,0,0,1,64,19,0
88,"Save about $3. Please reduce AC use from 5-8 p.m. Act before 5 p.m.",1,1,1,0,72,12,1
89,"Please delay dishwasher use until after 8 p.m. Most neighbors are participating.",0,1,0,1,78,13,1
90,"Save money today. Energy notice for this evening.",1,0,0,0,49,14,0
91,"Please raise your thermostat two degrees from 5-8 p.m. Act before 5 p.m.",0,1,1,0,74,15,1
92,"Save about $2. Most neighbors are reducing electricity use this evening.",1,0,0,1,70,16,1
93,"Act before 5 p.m. to support the grid.",0,0,1,0,41,17,0
94,"Save money today. Please delay laundry until after 8 p.m.",1,1,0,0,58,18,1
95,"Please reduce AC use from 5-8 p.m. Most neighbors are participating.",0,1,0,1,72,19,1
96,"Save about $4. Energy notice for this evening. Act before 5 p.m.",1,0,1,0,66,12,1
97,"Energy notice for this evening.",0,0,0,0,31,13,0
98,"Save money today. Please raise your thermostat two degrees from 5-8 p.m. Act before 5 p.m.",1,1,1,0,91,14,1
99,"Please delay dishwasher use until after 8 p.m.",0,1,0,0,48,15,0
100,"Save about $3. Most neighbors are participating.",1,0,0,1,47,16,0
